Time,min,max,mean
2012-01-25,53.4,62.2,58.17244897959182
2012-01-26,52.5,59.0,56.062500000000014
2012-01-27,50.0,56.1,52.78571428571429
2012-01-28,45.1,62.8,53.09027777777779
2012-01-29,48.2,64.0,55.077083333333306
2012-01-30,51.1,59.4,54.06013986013989
2012-01-31,48.7,58.5,52.36000000000001
2012-02-01,48.7,59.4,53.72307692307693
2012-02-02,48.2,64.2,54.86388888888889
2012-02-03,48.0,62.6,54.18531468531466
2012-02-04,47.5,63.7,54.85467625899281
2012-02-05,48.2,64.9,55.754166666666656
2012-02-06,51.1,58.6,52.91176470588237
2012-02-07,53.4,59.0,55.6934306569343
2012-02-08,50.4,64.0,56.15804195804196
2012-02-09,51.1,66.0,57.65319148936169
2012-02-10,50.5,61.7,55.527777777777764
2012-02-11,50.7,57.4,53.44965034965034
2012-02-12,48.6,58.3,52.3138888888889
2012-02-13,47.5,53.4,49.88333333333333
2012-02-14,45.1,59.5,50.20277777777776
2012-02-15,43.7,58.1,50.667132867132835
2012-02-16,48.4,65.3,53.611347517730515
2012-02-17,48.9,63.1,53.89090909090908
2012-02-18,47.7,60.6,52.762857142857136
2012-02-19,45.1,57.0,49.521678321678365
2012-02-20,48.6,58.5,52.79861111111112
2012-02-21,50.0,65.1,55.02999999999998
2012-02-22,51.1,71.1,57.62500000000001
2012-02-23,50.2,70.9,58.87625899280579
2012-02-24,52.0,70.9,58.4853146853147
2012-02-25,48.6,60.6,52.56805555555555
2012-02-26,44.1,57.2,48.82928571428573
2012-02-27,43.0,55.8,47.94791666666667
2012-02-28,45.0,56.1,50.12867132867135
2012-02-29,48.9,56.1,51.646853146853154
2012-03-01,47.3,54.9,50.45694444444444
2012-03-02,43.7,63.7,52.19580419580419
2012-03-03,46.9,68.7,56.32074074074075
2012-03-04,50.0,70.7,58.230496453900706
2012-03-05,46.4,57.7,50.590277777777814
2012-03-06,46.0,55.4,50.51666666666666
2012-03-07,46.2,62.6,51.87291666666664
2012-03-08,45.1,68.5,54.85886524822698
2012-03-09,47.3,71.2,54.82916666666668
2012-03-10,48.2,59.0,51.98601398601397
2012-03-11,49.8,59.7,53.54836065573774
2012-03-12,55.6,55.9,55.7769230769231
